PROTOCOL 1,,,,,,,,
"Info: Air 0.5-1 L/min, humidifier, outlet flow 0.1-0.3 L/min, n = 3 flies per well, 4-5 days old",,,,,,,,
"Protocol: 35 min baseline, 20 minute GA with 3 motor pulses, 65 minutes recovery with an initial 6 motor pulses, 120 minute total",,,,,,,,
"Pulses: (1s on, 5s off) x 5, seperated by 5 minutes",,,,,,,,
,,,,,,,,
SESSION,GA,GENOTYPE,N,EXPERIMENTER,NOTES,,Genotype,Numeric code
,Sevo 1%,TChrimson 6x,,,,,,
2021-08-22-13-56-30,Sevo 1.5%,TChrimson 6x,18,JK,,,,
,Sevo 1.5%,TChrimson 6x,,,,,,
,Sevo 1.5%,TChrimson 6x,,,,,,
2021-09-17-08-21-27,Sevo 2%,TChrimson 6x,18,JK,,,,
,Sevo 2%,TChrimson 6x,,,,,,
,Sevo 2%,TChrimson 6x,,,,,,
,Sevo 3%,TChrimson 6x,,,,*,,
2021-09-12-18-12-45,0%,TH-Thcrimson (atr),18,JK,,,,
,0%,TH-Thcrimson (atr),,,,,,
,0%,TH-Thcrimson (atr),,,,,,
,Sevo 0.5%,TH-Thcrimson (atr),,,,*,,
,Sevo 0.5%,TH-Thcrimson (atr),,,,,,
,Sevo 0.5%,TH-Thcrimson (atr),,,,,,
2021-09-12-11-44-08,Sevo 1%,TH-Thcrimson (atr),18,JK,,,,
,Sevo 1%,TH-Thcrimson (atr),,,,,,
,Sevo 1%,TH-Thcrimson (atr),,,,,,
2021-09-12-13-51-26,Sevo 1.5%,TH-Thcrimson (atr),18,JK,,,,
,Sevo 1.5%,TH-Thcrimson (atr),,,,,,
,Sevo 1.5%,TH-Thcrimson (atr),,,,,,
2021-09-12-16-02-01,Sevo 2%,TH-Thcrimson (atr),18,JK,,,,
,Sevo 2%,TH-Thcrimson (atr),,,,,,
,Sevo 2%,TH-Thcrimson (atr),,,,,,
,Sevo 3%,TH-Thcrimson (atr),,,,*,,
